example_id                                         | status | run_time        |
./spec/commands/token_spec.rb[1:1:2]               | passed | 0.00018 seconds |
./spec/commands/token_spec.rb[1:1:3]               | passed | 0.00027 seconds |
./spec/commands/token_spec.rb[1:2:1]               | passed | 0.00044 seconds |
./spec/commands/token_spec.rb[1:2:2]               | passed | 0.00021 seconds |
./spec/commands/token_spec.rb[1:2:3]               | passed | 0.0002 seconds  |
./spec/commands/token_spec.rb[1:3:1]               | passed | 0.00028 seconds |
./spec/commands/token_spec.rb[1:3:2]               | passed | 0.00024 seconds |
./spec/commands/token_spec.rb[1:3:3]               | passed | 0.00042 seconds |
./spec/commands/token_spec.rb[1:4:1]               | passed | 0.00036 seconds |
./spec/commands/token_spec.rb[1:5:1]               | passed | 0.00037 seconds |
./spec/commands/token_spec.rb[1:6:1]               | passed | 0.00022 seconds |
./spec/commands/token_spec.rb[1:7:1]               | passed | 0.00038 seconds |
./spec/config/config_spec.rb[1:1:1]                | passed | 0.00245 seconds |
./spec/config/config_spec.rb[1:1:2]                | passed | 0.00168 seconds |
./spec/config/config_spec.rb[1:1:3]                | passed | 0.00145 seconds |
./spec/config/config_spec.rb[1:1:4]                | passed | 0.00187 seconds |
./spec/config/config_spec.rb[1:1:5]                | passed | 0.00114 seconds |
./spec/config/config_spec.rb[1:2:1]                | passed | 0.00213 seconds |
./spec/config/config_spec.rb[1:2:2]                | passed | 0.00179 seconds |
./spec/config/config_spec.rb[1:2:3]                | passed | 0.00147 seconds |
./spec/config/config_spec.rb[1:2:4]                | passed | 0.00148 seconds |
./spec/config/config_spec.rb[1:2:5]                | passed | 0.00128 seconds |
./spec/config/config_spec.rb[1:3:1]                | passed | 0.00104 seconds |
./spec/config/config_spec.rb[1:4:1]                | passed | 0.00176 seconds |
./spec/config/config_spec.rb[1:4:2]                | passed | 0.00287 seconds |
./spec/config/config_spec.rb[1:5:1]                | passed | 0.0012 seconds  |
./spec/config/config_spec.rb[1:5:2]                | passed | 0.00294 seconds |
./spec/config/logger_spec.rb[1:1:1]                | passed | 0.00024 seconds |
./spec/config/logger_spec.rb[1:1:2]                | passed | 0.00065 seconds |
./spec/config/logger_spec.rb[1:1:3]                | passed | 0.0002 seconds  |
./spec/config/logger_spec.rb[1:1:4]                | passed | 0.00102 seconds |
./spec/config/logger_spec.rb[1:1:5]                | passed | 0.00042 seconds |
./spec/config/logger_spec.rb[1:1:6]                | passed | 0.00148 seconds |
./spec/config/logger_spec.rb[1:2:1:1]              | passed | 0.00295 seconds |
./spec/config/logger_spec.rb[1:2:1:2]              | passed | 0.00035 seconds |
